id,short_code,name,classification,type,size,color,description_main,description_extra,manufacturer,part_number
aluminium_extrusion_2020,,Aluminium Extrusion 2020,aluminium_extrusion,2020,,,,,,
aluminium_extrusion_2020_100_mm_length,,Aluminium Extrusion 2020 100 mm Length,aluminium_extrusion,2020,,,100_mm_length,,,
aluminium_extrusion_2020_200_mm_length,,Aluminium Extrusion 2020 200 mm Length,aluminium_extrusion,2020,,,200_mm_length,,,
aluminium_extrusion_2020_300_mm_length,,Aluminium Extrusion 2020 300 mm Length,aluminium_extrusion,2020,,,300_mm_length,,,
aluminium_extrusion_2020_400_mm_length,,Aluminium Extrusion 2020 400 mm Length,aluminium_extrusion,2020,,,400_mm_length,,,
aluminium_extrusion_2020_500_mm_length,,Aluminium Extrusion 2020 500 mm Length,aluminium_extrusion,2020,,,500_mm_length,,,
aluminium_extrusion_2020_600_mm_length,,Aluminium Extrusion 2020 600 mm Length,aluminium_extrusion,2020,,,600_mm_length,,,
aluminium_extrusion_2020_700_mm_length,,Aluminium Extrusion 2020 700 mm Length,aluminium_extrusion,2020,,,700_mm_length,,,
aluminium_extrusion_2020_800_mm_length,,Aluminium Extrusion 2020 800 mm Length,aluminium_extrusion,2020,,,800_mm_length,,,
aluminium_extrusion_2020_900_mm_length,,Aluminium Extrusion 2020 900 mm Length,aluminium_extrusion,2020,,,900_mm_length,,,
appliance_vacuum_cleaner_dyson_v10_dyson_v10,,Appliance Vacuum Cleaner Dyson V10 Dyson V10,appliance,vacuum_cleaner,dyson_v10,,,,dyson,v10
appliance_vacuum_cleaner_dyson_v11_dyson_v11,,Appliance Vacuum Cleaner Dyson V11 Dyson V11,appliance,vacuum_cleaner,dyson_v11,,,,dyson,v11
appliance_vacuum_cleaner_dyson_v6_combination_tool_dyson,,Appliance Vacuum Cleaner Dyson V6 Combination Tool Dyson,appliance,vacuum_cleaner,dyson_v6,,combination_tool,,dyson,
appliance_vacuum_cleaner_dyson_v6_crevice_tool_dyson,,Appliance Vacuum Cleaner Dyson V6 Crevice Tool Dyson,appliance,vacuum_cleaner,dyson_v6,,crevice_tool,,dyson,
appliance_vacuum_cleaner_dyson_v6_dyson_v6,,Appliance Vacuum Cleaner Dyson V6 Dyson V6,appliance,vacuum_cleaner,dyson_v6,,,,dyson,v6
appliance_vacuum_cleaner_dyson_v6_mini_motorhead_tool_dyson,,Appliance Vacuum Cleaner Dyson V6 Mini Motorhead Tool Dyson,appliance,vacuum_cleaner,dyson_v6,,mini_motorhead_tool,,dyson,
appliance_vacuum_cleaner_dyson_v6_motorhead_tool_dyson,,Appliance Vacuum Cleaner Dyson V6 Motorhead Tool Dyson,appliance,vacuum_cleaner,dyson_v6,,motorhead_tool,,dyson,
